datum,pocet_den,pocet_celkem
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,3,3
2020-03-02,0,3
2020-03-03,2,5
2020-03-04,1,6
2020-03-05,3,9
2020-03-06,11,20
2020-03-07,7,27
2020-03-08,6,33
2020-03-09,6,39
2020-03-10,25,64
2020-03-11,31,95
2020-03-12,22,117
2020-03-13,25,142
2020-03-14,48,190
2020-03-15,109,299
2020-03-16,85,384
2020-03-17,68,452
2020-03-18,110,562
2020-03-19,206,768
2020-03-20,124,892
2020-03-21,159,1051
2020-03-22,115,1166
2020-03-23,126,1292
2020-03-24,185,1477
2020-03-25,292,1769
2020-03-26,259,2028
2020-03-27,377,2405
2020-03-28,263,2668
2020-03-29,159,2827
2020-03-30,184,3011
2020-03-31,308,3319
2020-04-01,283,3602
2020-04-02,269,3871
2020-04-03,334,4205
2020-04-04,284,4489
2020-04-05,117,4606
2020-04-06,236,4842
2020-04-07,196,5038
2020-04-08,295,5333
2020-04-09,257,5590
2020-04-10,163,5753
2020-04-11,170,5923
2020-04-12,89,6012
2020-04-13,68,6080
2020-04-14,82,6162
2020-04-15,160,6322
2020-04-16,132,6454
2020-04-17,116,6570
2020-04-18,105,6675
2020-04-19,92,6767
2020-04-20,154,6921
2020-04-21,133,7054
2020-04-22,99,7153
2020-04-23,55,7208
2020-04-24,86,7294
2020-04-25,79,7373
2020-04-26,52,7425
2020-04-27,41,7466
2020-04-28,59,7525
2020-04-29,75,7600
2020-04-30,103,7703
2020-05-01,55,7758
2020-05-02,18,7776
2020-05-03,26,7802
2020-05-04,38,7840
2020-05-05,77,7917
2020-05-06,78,7995
2020-05-07,57,8052
2020-05-08,46,8098
2020-05-09,18,8116
2020-05-10,28,8144
2020-05-11,53,8197
2020-05-12,45,8242
2020-05-13,48,8290
2020-05-14,82,8372
2020-05-15,55,8427
2020-05-16,50,8477
2020-05-17,20,8497
2020-05-18,111,8608
2020-05-19,61,8669
2020-05-20,74,8743
2020-05-21,33,8776
2020-05-22,59,8835
2020-05-23,77,8912
2020-05-24,65,8977
2020-05-25,47,9024
2020-05-26,48,9072
2020-05-27,36,9108
2020-05-28,54,9162
2020-05-29,56,9218
2020-05-30,34,9252
2020-05-31,38,9290
2020-06-01,34,9324
2020-06-02,62,9386
2020-06-03,74,9460
2020-06-04,57,9517
2020-06-05,34,9551
2020-06-06,38,9589
2020-06-07,61,9650
2020-06-08,69,9719
2020-06-09,54,9773
2020-06-10,73,9846
2020-06-11,62,9908
2020-06-12,52,9960
2020-06-13,53,10013
2020-06-14,33,10046
2020-06-15,40,10086
2020-06-16,47,10133
2020-06-17,51,10184
2020-06-18,118,10302
2020-06-19,126,10428
2020-06-20,42,10470
2020-06-21,50,10520
2020-06-22,63,10583
2020-06-23,89,10672
2020-06-24,127,10799
2020-06-25,93,10892
2020-06-26,168,11060
2020-06-27,260,11320
2020-06-28,305,11625
2020-06-29,201,11826
2020-06-30,149,11975
2020-07-01,91,12066
2020-07-02,132,12198
2020-07-03,139,12337
2020-07-04,121,12458
2020-07-05,75,12533
2020-07-06,51,12584
2020-07-07,118,12702
2020-07-08,129,12831
2020-07-09,105,12936
2020-07-10,141,13077
2020-07-11,53,13130
2020-07-12,59,13189
2020-07-13,64,13253
2020-07-14,103,13356
2020-07-15,134,13490
2020-07-16,137,13627
2020-07-17,128,13755
2020-07-18,112,13867
2020-07-19,91,13958
2020-07-20,169,14127
2020-07-21,207,14334
2020-07-22,245,14579
2020-07-23,231,14810
2020-07-24,278,15088
2020-07-25,132,15220
2020-07-26,114,15334
2020-07-27,194,15528
2020-07-28,276,15804
2020-07-29,274,16078
2020-07-30,253,16331
2020-07-31,231,16562
2020-08-01,123,16685
2020-08-02,101,16786
2020-08-03,208,16994
2020-08-04,287,17281
2020-08-05,240,17521
2020-08-06,214,17735
2020-08-07,323,18058
2020-08-08,175,18233
2020-08-09,122,18355
2020-08-10,140,18495
2020-08-11,287,18782
2020-08-12,290,19072
2020-08-13,329,19401
2020-08-14,291,19692
2020-08-15,197,19889
2020-08-16,121,20010
2020-08-17,191,20201
2020-08-18,281,20482
2020-08-19,316,20798
