pomucka,kraj,mnozstvi
Brýle,CZ010,14448
Brýle,CZ020,2925
Brýle,CZ031,2703
Brýle,CZ032,2994
Brýle,CZ041,1710
Brýle,CZ042,3613
Brýle,CZ051,1895
Brýle,CZ052,3435
Brýle,CZ053,2805
Brýle,CZ063,1920
Brýle,CZ064,4320
Brýle,CZ071,3192
Brýle,CZ072,3170
Brýle,CZ080,5973
"Dezinfekce (l)",CZ010,16675
"Dezinfekce (l)",CZ020,1525
"Dezinfekce (l)",CZ031,1590
"Dezinfekce (l)",CZ032,8970
"Dezinfekce (l)",CZ041,1355
"Dezinfekce (l)",CZ042,2920
"Dezinfekce (l)",CZ051,1205
"Dezinfekce (l)",CZ052,2650
"Dezinfekce (l)",CZ053,1130
"Dezinfekce (l)",CZ063,2060
"Dezinfekce (l)",CZ064,9625
"Dezinfekce (l)",CZ071,3730
"Dezinfekce (l)",CZ072,1950
"Dezinfekce (l)",CZ080,5000
Roušky,CZ010,8599297
Roušky,CZ020,1633966
Roušky,CZ031,1294473
Roušky,CZ032,2861061
Roušky,CZ041,700855
Roušky,CZ042,1293016
Roušky,CZ051,762900
Roušky,CZ052,1763835
Roušky,CZ053,905219
Roušky,CZ063,1134029
Roušky,CZ064,3378412
Roušky,CZ071,1592796
Roušky,CZ072,1032180
Roušky,CZ080,2218078
Respirátory,CZ010,3054044
Respirátory,CZ020,458075
Respirátory,CZ031,325324
Respirátory,CZ032,816297
Respirátory,CZ041,186962
Respirátory,CZ042,393596
Respirátory,CZ051,197490
Respirátory,CZ052,710425
Respirátory,CZ053,344380
Respirátory,CZ063,226117
Respirátory,CZ064,791299
Respirátory,CZ071,374704
Respirátory,CZ072,275470
Respirátory,CZ080,671601
"Odběrové sady",CZ010,283230
"Odběrové sady",CZ020,35320
"Odběrové sady",CZ031,5650
"Odběrové sady",CZ032,56580
"Odběrové sady",CZ041,28890
"Odběrové sady",CZ042,24378
"Odběrové sady",CZ051,22100
"Odběrové sady",CZ052,26130
"Odběrové sady",CZ053,19280
"Odběrové sady",CZ063,9870
"Odběrové sady",CZ064,141290
"Odběrové sady",CZ071,21600
"Odběrové sady",CZ072,10370
"Odběrové sady",CZ080,76370
Rukavice,CZ010,2495104
Rukavice,CZ020,657122
Rukavice,CZ031,462228
Rukavice,CZ032,1207861
Rukavice,CZ041,180804
Rukavice,CZ042,594583
Rukavice,CZ051,264269
Rukavice,CZ052,694924
Rukavice,CZ053,328604
Rukavice,CZ063,278007
Rukavice,CZ064,792534
Rukavice,CZ071,471658
Rukavice,CZ072,416163
Rukavice,CZ080,749348
Rychlotesty,CZ010,133327
Rychlotesty,CZ020,50569
Rychlotesty,CZ031,32843
Rychlotesty,CZ032,34552
Rychlotesty,CZ041,43324
Rychlotesty,CZ042,36621
Rychlotesty,CZ051,30310
Rychlotesty,CZ052,31469
Rychlotesty,CZ053,31138
Rychlotesty,CZ063,30393
Rychlotesty,CZ064,60184
Rychlotesty,CZ071,97236
Rychlotesty,CZ072,30428
Rychlotesty,CZ080,67082
Štíty,CZ010,13665
Štíty,CZ020,2347
Štíty,CZ031,2316
Štíty,CZ032,3962
Štíty,CZ041,3015
Štíty,CZ042,3869
Štíty,CZ051,1925
Štíty,CZ052,2105
Štíty,CZ053,4390
Štíty,CZ063,2495
Štíty,CZ064,6307
Štíty,CZ071,3374
Štíty,CZ072,3880
Štíty,CZ080,3818
"Ochranné oděvy",CZ010,511505
"Ochranné oděvy",CZ020,20698
"Ochranné oděvy",CZ031,31199
